Classes = 1,2,3,4,5,7
Attributes = A1{Floating_Point},A2{Floating_Point},A3{Floating_Point},A4{Floating_Point}
90,109,112,85,3
90,109,117,89,3
90,109,112,89,3
90,109,112,89,3
90,104,117,92,3
90,109,112,89,3
90,109,112,89,3
90,104,112,89,3
86,104,108,89,3
90,104,108,92,3
90,109,108,89,3
86,104,112,85,3
86,96,104,81,3
86,104,108,85,3
90,109,112,92,3
86,109,108,89,3
86,109,112,89,3
90,109,112,92,3
86,104,108,89,3
86,104,104,85,3
82,100,100,85,3
82,100,104,78,3
82,100,104,81,3
86,100,104,81,3
82,96,100,81,3
82,96,104,78,3
86,96,104,81,3
82,96,100,81,3
82,100,104,78,3
82,96,104,85,3
86,100,108,85,3
86,100,112,85,3
86,100,112,85,3
82,96,100,81,7
78,83,84,70,7
70,75,76,66,7
66,71,80,66,5
66,63,76,66,5
59,60,73,63,5
59,56,76,66,5
59,53,76,70,5
56,49,73,70,5
92,103,110,86,3
87,103,114,90,3
92,122,135,109,3
92,108,114,86,3
83,103,105,83,3
79,103,110,83,3
79,99,105,83,3
83,91,97,72,4
83,91,97,72,4
79,91,93,72,4
79,91,90,68,4
79,88,93,68,4
75,91,93,68,4
75,84,90,68,4
75,84,93,72,4
75,88,90,68,4
75,88,93,72,4
63,77,86,72,2
49,45,119,116,2
46,37,119,127,2
46,32,119,131,2
42,34,119,131,2
46,34,119,131,2
71,77,97,75,2
87,103,105,86,3
87,95,105,83,3
83,99,110,83,3
87,99,105,86,3
96,112,114,90,3
87,108,110,90,3
92,108,110,86,3
87,103,110,90,3
87,103,114,86,3
92,108,114,86,3
92,108,110,86,3
92,103,105,86,3
87,99,105,83,3
87,103,105,86,3
92,108,110,90,3
87,108,119,90,3
87,103,110,86,3
83,103,110,83,3
79,95,105,79,3
87,95,97,83,3
83,99,101,79,3
83,99,105,79,3
79,99,97,79,3
83,95,105,83,3
83,95,101,79,3
83,99,105,83,3
83,103,105,83,3
87,103,105,83,3
79,88,97,72,7
71,81,86,68,7
71,77,82,64,7
71,81,82,68,7
67,73,75,60,7
63,66,68,57,7
63,63,72,60,5
63,66,72,64,7
59,57,75,64,5
97,115,119,97,3
89,120,124,97,3
93,115,124,101,3
93,125,135,104,3
93,130,129,101,3
89,120,129,97,3
78,102,110,83,3
78,102,105,80,3
78,97,101,80,3
78,92,93,73,4
74,92,93,69,4
78,88,97,73,4
82,88,97,73,4
78,88,93,73,4
82,92,93,73,4
78,88,93,73,4
78,84,93,69,4
74,84,89,69,4
74,88,93,76,4
67,75,93,80,2
57,63,97,90,2
47,40,119,122,2
44,34,124,136,2
44,34,124,136,2
42,31,124,133,2
44,34,119,133,2
53,56,105,97,2
74,92,101,76,3
85,102,110,83,3
85,97,105,83,3
82,97,105,83,3
93,106,114,90,3
93,115,114,90,3
93,115,114,90,3
93,111,119,90,3
89,106,110,87,3
89,102,110,87,3
93,111,110,94,3
93,106,114,87,3
85,106,110,87,3
89,106,114,90,3
89,111,110,83,3
89,111,114,87,3
89,111,110,87,3
89,106,114,90,3
89,102,114,90,3
89,106,114,87,3
85,102,110,87,3
89,97,105,83,3
85,102,105,87,3
85,102,101,80,3
85,97,101,83,3
85,102,110,83,3
89,106,114,87,3
85,102,105,83,3
85,102,101,83,3
82,102,114,87,3
89,106,114,83,3
82,102,105,83,3
78,102,105,83,3
82,106,105,87,3
82,97,105,87,3
70,88,89,69,7
74,79,85,69,7
70,79,82,62,7
67,75,74,62,7
60,63,74,58,7
92,120,125,98,3
88,120,125,98,3
88,125,136,109,3
88,125,136,105,3
88,125,125,102,3
80,98,102,79,3
80,98,102,79,3
80,98,98,79,3
80,98,102,76,3
84,94,98,76,4
80,94,94,72,4
80,89,98,72,4
80,89,90,68,4
80,85,90,68,4
72,85,94,72,4
57,49,111,109,2
50,40,125,128,2
47,34,125,135,2
44,34,131,131,2
44,34,120,135,2
44,34,131,135,2
47,31,131,139,2
41,31,131,135,2
41,31,131,139,2
64,73,106,83,2
84,102,106,83,3
88,111,111,91,3
88,102,115,87,3
84,111,106,87,3
92,106,111,87,3
92,111,111,87,3
88,106,106,83,3
84,102,106,83,3
88,106,106,87,3
88,111,115,83,3
88,111,111,87,3
92,106,111,87,3
88,106,111,87,3
84,106,115,91,3
88,111,115,87,3
88,106,111,87,3
92,111,115,91,3
92,115,120,94,3
88,111,111,91,3
84,106,111,87,3
88,106,115,87,3
92,106,111,87,3
88,102,106,83,3
88,106,106,83,3
88,106,115,87,3
84,102,115,91,3
88,111,120,94,3
88,106,111,91,3
88,106,106,87,3
88,106,111,87,3
88,102,111,83,3
84,102,106,83,3
88,102,115,87,3
84,102,102,83,3
80,98,98,79,3
84,98,106,83,3
80,98,98,79,3
76,85,86,72,7
76,85,86,72,7
68,85,86,68,7
72,81,82,68,7
72,81,86,68,7
72,77,78,61,7
88,126,139,103,3
88,121,133,103,3
88,121,128,99,3
92,116,122,99,3
84,99,104,78,3
80,95,100,78,3
80,99,100,74,3
80,95,100,74,4
84,95,100,74,4
71,91,96,74,4
76,91,96,70,4
71,79,96,74,2
56,54,108,103,2
56,54,104,92,2
53,45,113,114,2
46,34,133,146,2
46,31,139,143,2
46,31,133,146,2
43,31,139,146,2
43,31,133,139,2
43,31,128,135,2
43,31,128,135,2
46,34,133,132,2
43,31,128,135,2
46,34,118,132,2
50,51,113,103,2
71,87,104,81,2
88,103,108,88,3
88,103,108,88,3
92,107,113,88,3
88,103,113,85,3
88,103,108,88,3
92,107,113,88,3
88,107,113,88,3
88,107,113,88,3
88,107,118,88,3
88,107,113,88,3
88,107,108,85,3
88,107,104,88,3
88,107,113,85,3
84,103,108,85,3
88,107,118,92,3
88,107,113,88,3
88,107,113,88,3
88,107,113,92,3
84,99,108,85,3
84,103,113,88,3
88,107,113,85,3
88,103,108,85,3
88,107,113,88,3
88,103,113,92,3
84,107,113,88,3
92,112,118,92,3
88,103,113,85,3
88,107,113,88,3
88,103,118,85,3
88,99,108,85,3
84,103,108,85,3
84,99,104,81,3
80,95,91,74,7
76,87,96,70,7
68,79,83,67,7
68,79,83,67,7
71,75,87,67,7
71,75,79,63,7
71,83,91,74,7
71,79,79,67,7
88,126,134,104,3
88,121,128,104,3
93,116,123,96,3
88,111,118,92,3
88,103,109,87,3
84,107,113,87,3
84,103,104,83,3
84,99,100,79,3
84,95,104,79,3
84,99,100,75,3
84,91,100,75,4
84,95,100,79,4
71,83,96,75,2
59,58,104,100,2
51,45,113,116,2
44,34,128,129,2
44,34,123,129,2
48,37,118,121,2
44,37,128,137,2
41,32,139,150,2
44,29,139,150,2
44,27,134,146,2
44,34,118,129,2
48,34,123,133,2
48,32,128,129,2
48,37,123,125,2
59,58,104,92,2
88,107,109,87,3
88,107,113,87,3
88,107,109,87,3
88,107,104,83,3
88,107,109,87,3
88,103,109,87,3
88,111,109,87,3
93,107,113,92,3
93,111,109,87,3
93,111,109,87,3
84,103,104,83,3
88,107,109,87,3
84,107,109,92,3
88,107,109,87,3
84,107,109,92,3
84,103,109,83,3
88,103,109,83,3
88,107,109,87,3
88,111,109,92,3
84,111,113,92,3
88,111,123,96,3
93,116,118,96,3
88,111,113,87,3
84,103,109,83,3
88,103,113,87,3
88,107,109,87,3
88,103,109,87,3
84,99,104,79,3
75,83,85,67,7
75,79,85,71,7
71,79,85,67,7
75,79,81,67,7
75,83,89,67,7
75,83,85,67,7
75,83,89,71,7
75,79,89,71,7
90,123,127,103,3
90,118,122,96,3
86,109,112,92,3
90,113,122,92,3
90,109,112,92,3
82,100,104,81,3
82,100,96,78,3
78,96,100,81,4
49,37,122,125,2
43,32,127,133,2
43,34,127,133,2
43,32,122,133,2
52,40,112,114,2
52,37,117,122,2
46,29,138,151,2
49,32,138,151,2
46,29,133,151,2
46,29,138,147,2
46,29,133,140,2
46,32,122,125,2
46,34,122,125,2
46,34,122,129,2
49,43,117,111,2
66,71,100,85,2
82,96,104,81,3
86,104,108,85,3
86,104,108,89,3
90,109,112,89,3
90,109,112,89,3
90,109,112,89,3
86,109,108,89,3
86,104,108,85,3
86,104,108,89,3
86,104,112,85,3
86,104,108,89,3
86,104,108,89,3
82,104,112,89,3
86,109,112,92,3
82,100,104,85,3
90,109,117,85,3
90,109,117,92,3
90,113,122,96,3
95,113,117,96,3
86,104,108,85,3
86,100,108,81,3
90,109,108,85,3
82,96,100,78,7
70,79,84,66,7
70,79,80,66,7
66,75,80,66,7
66,71,80,63,7
70,79,80,70,7
74,83,84,70,7
70,75,76,63,7
70,75,76,63,7
74,83,84,66,7
74,83,84,70,7
74,83,80,70,7
92,127,135,105,3
96,117,119,94,3
92,112,119,90,3
92,112,114,94,3
92,112,119,94,3
92,108,114,90,3
87,103,105,83,3
83,99,101,79,3
79,91,105,79,4
71,73,101,90,2
63,57,105,101,2
46,34,130,135,2
42,32,130,135,2
42,34,124,135,2
46,37,119,131,2
42,30,135,157,2
42,30,135,150,2
46,32,124,131,2
49,34,124,131,2
46,34,119,131,2
46,37,130,127,2
75,84,101,79,2
87,99,105,83,3
87,103,110,86,3
87,103,114,86,3
87,108,119,90,3
92,112,119,90,3
92,108,110,90,3
92,112,119,90,3
92,108,110,86,3
87,103,105,86,3
87,108,110,86,3
87,112,114,90,3
83,103,105,83,3
87,103,105,86,3
83,103,110,90,3
87,108,110,90,3
87,108,110,90,3
92,108,114,86,3
87,103,105,86,3
96,112,114,94,3
92,117,124,98,3
92,108,114,90,3
92,103,110,86,3
75,91,93,72,7
63,66,72,60,7
67,70,72,60,7
71,73,75,60,7
67,73,72,60,7
63,70,75,57,7
71,77,82,64,7
71,77,82,64,7
71,77,75,64,7
71,77,82,68,7
71,88,93,72,7
75,84,90,68,7
67,73,75,60,7
63,66,72,57,7
93,125,129,104,3
93,120,124,94,3
93,115,119,94,3
89,115,119,90,3
89,115,114,94,3
93,115,124,97,3
97,111,119,94,3
93,106,114,90,3
89,106,101,80,3
74,75,97,83,2
53,49,114,108,2
47,37,119,126,2
44,31,124,133,2
44,31,129,140,2
44,34,129,143,2
44,31,129,140,2
44,34,124,136,2
44,31,124,140,2
44,34,129,136,2
44,31,124,136,2
44,37,119,126,2
50,43,110,115,2
44,34,129,143,2
44,29,124,143,2
44,34,129,143,2
44,34,119,136,2
42,34,119,129,2
44,34,114,129,2
47,37,114,126,2
47,34,119,126,2
47,34,114,126,2
47,34,114,122,2
47,37,114,126,2
47,40,114,115,2
57,60,105,94,2
85,102,105,83,3
89,106,114,90,3
89,106,110,90,3
93,106,114,87,3
93,111,119,94,3
93,111,114,90,3
89,106,114,83,3
89,106,110,87,3
89,106,114,90,3
89,106,114,87,3
89,111,110,90,3
89,106,114,90,3
89,111,114,94,3
97,120,119,97,3
93,115,114,90,3
85,97,105,80,3
78,88,89,73,5
70,84,82,65,5
63,71,78,58,5
67,71,78,58,5
67,75,82,62,7
67,71,74,58,7
63,67,70,55,7
67,71,70,58,7
70,84,93,76,7
78,84,89,73,7
74,88,89,69,7
70,79,85,65,7
67,79,82,65,7
67,79,78,65,7
67,75,74,62,7
67,67,70,55,7
92,120,120,98,3
92,115,115,94,3
88,102,111,87,3
84,106,111,91,3
88,111,111,87,3
92,106,115,91,3
88,102,111,83,3
76,77,102,83,2
53,40,115,116,2
44,29,125,135,2
50,31,131,135,2
44,31,125,135,2
44,34,131,139,2
47,31,125,139,2
47,31,125,135,2
44,31,120,131,2
50,40,115,113,2
50,46,111,116,2
44,29,136,146,2
44,31,136,139,2
44,31,131,135,2
44,31,120,131,2
44,31,120,128,2
44,34,120,120,2
80,98,102,79,3
84,102,102,87,3
88,106,111,87,3
88,102,111,83,3
92,115,115,91,3
88,111,115,91,3
92,106,115,87,3
92,111,115,91,3
97,111,120,91,3
92,111,111,87,3
88,106,111,87,3
88,106,111,87,3
92,106,111,91,3
92,111,115,91,3
92,115,120,94,3
92,120,120,94,3
92,106,111,87,3
76,85,90,68,5
64,77,78,61,5
60,66,67,57,5
64,69,71,57,5
64,66,67,54,5
60,62,67,54,7
64,69,74,61,7
64,69,74,61,7
68,81,86,72,7
64,73,74,61,7
64,69,71,61,7
72,77,82,68,7
76,81,90,76,7
76,85,90,72,7
76,77,90,68,7
68,69,71,57,7
64,69,74,57,7
68,69,74,57,7
64,66,67,54,7
88,107,113,88,3
84,107,113,88,3
84,112,113,88,3
92,112,113,88,3
88,103,108,85,3
64,64,104,96,2
46,31,128,135,2
46,31,128,135,2
46,31,133,143,2
50,31,133,135,2
46,34,128,135,2
46,36,128,132,2
46,39,122,121,2
53,45,108,103,2
43,31,139,143,2
46,34,122,125,2
46,36,118,125,2
46,34,118,121,2
43,36,118,121,2
46,34,122,125,2
50,34,118,125,2
50,36,118,128,2
53,51,113,103,2
84,99,104,85,3
84,103,113,88,3
88,107,118,88,3
88,103,104,85,3
88,103,113,85,3
88,107,108,88,3
92,112,118,88,3
92,107,118,88,3
88,112,118,88,3
88,107,113,85,3
88,107,113,88,3
92,103,113,88,3
88,107,108,92,3
92,112,113,88,3
92,112,118,92,3
88,107,122,88,3
88,103,108,85,7
68,71,75,59,5
60,57,60,45,5
56,57,56,45,5
60,57,67,49,5
60,57,67,49,5
56,54,67,49,5
56,54,67,52,5
53,57,67,52,5
60,64,75,63,7
64,68,79,59,7
64,68,71,56,7
64,71,75,63,7
71,79,79,63,7
71,79,79,67,7
71,79,87,70,7
68,75,79,67,7
71,79,79,63,7
64,71,79,59,7
68,71,71,59,7
93,111,118,92,3
88,111,113,92,3
84,111,118,92,3
93,111,113,92,3
88,107,109,87,3
84,99,100,79,4
84,95,96,79,4
44,32,139,141,2
44,34,139,146,2
44,32,134,141,2
44,32,134,137,2
48,34,128,133,2
48,37,118,125,2
48,40,118,112,2
51,45,104,100,2
44,32,128,137,2
44,32,123,129,2
44,34,128,129,2
44,32,128,125,2
48,29,123,125,2
44,32,113,121,2
48,34,118,112,2
51,37,118,112,2
48,40,113,112,2
48,37,118,125,2
48,34,123,125,2
88,107,109,87,3
88,111,109,92,3
88,107,109,87,3
93,107,113,87,3
88,111,118,96,3
93,111,118,96,3
93,111,118,92,3
93,111,118,92,3
93,111,118,92,3
88,111,118,92,3
88,107,113,92,3
93,111,118,87,3
88,107,109,87,3
88,103,113,83,3
84,95,100,83,7
75,79,89,67,7
63,61,63,42,5
59,51,67,46,5
59,51,67,50,5
55,54,67,50,5
55,58,70,54,5
71,79,85,67,7
71,87,96,75,7
75,83,89,71,7
71,75,85,67,7
71,75,74,62,7
67,72,70,58,7
67,72,74,58,7
63,68,74,58,7
71,75,77,67,7
95,109,112,89,3
90,113,117,92,3
95,118,117,96,3
86,104,108,89,3
82,96,104,78,4
82,96,104,81,4
82,96,100,81,4
78,83,96,74,2
63,56,108,103,2
46,34,127,144,2
43,32,133,144,2
43,32,138,144,2
46,32,138,144,2
46,32,138,144,2
46,32,133,144,2
46,32,133,136,2
46,32,127,136,2
49,32,127,133,2
46,34,127,129,2
49,32,127,133,2
49,37,112,118,2
43,29,138,140,2
46,34,112,111,2
52,34,117,122,2
49,34,117,122,2
86,100,108,85,3
90,109,108,89,3
86,104,112,85,3
90,113,112,92,3
90,113,117,92,3
95,113,117,96,3
90,118,122,96,3
90,113,117,96,3
90,113,112,92,3
90,113,112,92,3
90,113,112,89,3
86,104,104,85,3
78,96,92,81,7
74,87,92,74,7
74,79,84,66,7
63,67,69,52,5
59,56,62,48,5
59,53,66,44,5
59,56,62,44,5
59,56,66,44,5
59,56,76,55,5
59,49,69,48,5
59,53,66,44,5
56,53,66,48,5
66,67,80,63,7
63,67,73,59,7
70,79,84,70,7
70,79,84,66,7
63,67,69,59,7
59,63,66,55,7
59,63,73,59,7
66,75,76,63,7
92,112,114,94,3
92,112,124,94,3
92,112,114,98,3
92,108,114,90,3
83,99,101,75,3
79,91,97,75,4
83,91,97,79,4
79,95,93,75,4
79,95,93,75,4
71,77,93,79,2
56,42,114,120,2
42,32,130,146,2
42,34,130,142,2
46,32,130,142,2
46,32,130,142,2
46,32,124,139,2
42,34,124,135,2
46,32,119,131,2
46,34,119,127,2
49,34,114,124,2
49,40,105,116,2
46,32,124,135,2
42,32,130,139,2
42,32,119,127,2
42,34,110,120,2
46,34,110,116,2
49,37,114,116,2
52,40,110,113,2
49,37,110,116,2
46,37,114,116,2
46,37,110,113,2
52,45,110,109,2
79,95,97,75,3
96,108,114,94,3
96,112,119,90,3
96,112,119,90,3
96,117,114,94,3
92,112,114,90,3
92,108,114,90,3
92,108,119,90,3
92,103,105,83,3
83,99,101,83,3
79,95,101,75,7
79,84,86,68,7
71,73,79,64,7
71,77,82,68,7
67,77,75,64,5
67,70,68,57,5
52,51,58,42,5
56,54,72,49,5
56,51,62,45,5
56,54,65,45,5
56,51,72,60,5
59,54,62,45,5
59,60,72,57,7
63,70,75,64,7
63,66,75,60,7
63,63,68,53,7
59,60,65,53,7
59,66,72,57,7
97,115,119,94,3
97,115,124,94,3
97,115,119,94,3
78,92,93,80,4
78,88,93,76,4
78,88,97,80,4
78,88,93,76,2
63,63,101,90,2
47,37,119,133,2
44,34,124,143,2
44,34,129,143,2
44,31,124,143,2
44,34,129,140,2
44,34,124,136,2
44,34,124,136,2
44,34,119,133,2
44,34,114,129,2
44,31,124,136,2
44,31,124,133,2
47,34,114,126,2
47,37,114,122,2
47,37,114,119,2
44,34,110,119,2
44,37,105,111,2
47,40,110,111,2
60,63,97,94,2
70,79,97,80,2
78,92,97,76,7
97,115,114,94,3
93,115,114,94,3
93,115,119,94,3
97,115,114,97,3
97,115,114,94,3
97,115,114,90,3
93,111,114,87,3
89,106,114,87,3
85,106,110,83,3
78,88,93,73,7
78,84,85,65,7
70,79,82,65,7
53,60,63,48,5
57,56,56,44,5
57,53,67,55,5
53,53,67,48,5
57,56,63,51,5
53,49,70,55,5
57,56,74,62,5
57,56,70,48,5
57,56,74,58,5
57,60,74,58,5
63,63,74,62,5
53,53,82,83,2
50,43,97,101,2
44,37,101,108,2
53,53,85,76,2
60,60,74,55,7
63,67,74,58,7
67,71,78,62,7
92,115,120,94,3
92,115,120,94,3
88,106,111,87,3
76,89,94,76,4
80,89,98,79,4
76,85,90,76,4
72,81,94,76,2
57,49,115,113,2
44,31,131,142,2
47,31,131,139,2
47,34,131,139,2
44,31,125,139,2
47,34,125,135,2
47,34,115,124,2
47,40,115,116,2
50,43,106,102,2
47,40,115,120,2
44,31,131,135,2
47,31,120,124,2
47,34,115,120,2
47,37,111,105,2
50,40,106,105,2
53,43,106,102,2
64,69,94,79,2
68,77,86,65,7
68,77,78,61,7
68,77,82,61,7
68,81,90,68,7
76,85,94,76,7
84,98,102,79,3
88,111,115,94,3
88,111,115,91,3
88,106,111,87,3
88,102,106,83,3
84,98,106,83,3
88,98,106,79,3
84,98,98,79,3
76,81,90,65,7
72,77,78,65,7
72,81,78,65,7
72,81,90,65,7
72,81,94,65,7
64,69,71,57,5
57,59,64,50,5
57,59,78,65,5
53,52,78,65,5
53,49,74,57,5
53,49,71,50,5
57,55,74,61,5
57,55,78,65,5
57,55,67,50,5
57,55,74,65,5
47,34,111,116,2
44,29,115,124,2
44,29,106,113,2
44,31,106,116,2
44,37,98,94,2
57,59,78,61,5
60,62,82,65,5
80,99,104,81,3
84,95,96,78,4
76,87,96,74,4
80,95,100,81,4
80,103,96,81,4
84,95,100,78,4
84,95,100,78,4
80,91,96,81,4
71,87,91,74,4
76,87,87,74,4
76,87,91,78,4
84,91,96,74,4
68,68,100,85,2
50,39,118,132,2
43,29,133,143,2
46,31,133,139,2
46,31,133,139,2
46,31,133,143,2
46,31,133,139,2
43,31,128,135,2
43,29,128,132,2
46,34,118,121,2
50,36,118,121,2
50,36,122,121,2
46,36,122,125,2
50,39,122,117,2
50,34,122,135,2
43,29,133,135,2
56,51,100,92,2
68,71,91,70,2
68,75,75,59,7
68,75,75,59,7
68,75,83,59,7
84,103,108,85,3
92,112,122,92,3
92,112,118,92,3
88,107,108,88,3
84,99,104,78,7
84,95,104,78,7
84,95,104,81,7
84,103,104,81,7
68,83,83,67,7
71,75,83,67,7
71,83,87,70,7
71,79,83,67,7
64,64,71,56,5
64,61,71,59,5
60,61,71,59,5
60,61,75,63,5
60,61,75,67,5
56,54,79,70,5
53,48,75,63,5
53,48,67,56,5
56,54,79,63,5
56,51,67,52,5
53,54,71,52,5
43,29,122,139,2
43,29,122,135,2
43,29,122,128,2
40,31,122,132,2
53,48,71,59,5
56,51,71,59,5
60,54,75,63,5
84,95,96,75,4
84,95,100,79,4
79,95,96,75,4
84,95,100,79,4
84,99,100,79,4
84,99,100,79,4
79,95,96,79,4
79,91,93,75,4
79,91,96,75,4
84,95,100,79,4
79,95,96,79,4
84,99,96,79,4
75,87,93,75,2
63,58,104,100,2
44,32,128,141,2
44,34,123,129,2
44,32,118,125,2
48,34,118,121,2
48,34,118,125,2
44,34,123,129,2
48,29,118,129,2
51,42,109,104,2
51,40,104,100,2
59,51,100,83,2
63,64,85,67,2
67,72,77,54,7
67,72,74,58,7
67,72,70,54,7
67,75,74,58,7
67,75,77,58,7
67,79,81,62,7
71,83,85,62,7
75,91,96,75,7
84,103,104,83,3
79,95,100,79,7
79,95,96,75,7
71,83,85,67,7
71,79,85,67,7
71,75,85,67,7
75,79,85,67,7
71,79,89,75,7
63,64,85,75,5
55,48,77,62,5
55,48,74,62,5
55,51,67,54,5
55,51,70,54,5
55,54,77,62,5
55,48,70,54,5
55,51,85,75,5
51,45,104,112,2
44,29,128,146,2
41,27,123,129,2
44,32,113,116,2
51,45,85,71,2
51,45,74,62,5
59,58,77,67,5
82,96,96,81,4
82,96,100,78,4
82,91,96,78,4
82,96,96,78,4
82,96,100,78,4
82,96,104,78,4
78,96,104,78,4
82,91,104,81,4
82,96,104,81,4
82,100,100,78,4
82,96,104,81,4
82,100,100,85,3
49,34,117,129,2
46,34,112,122,2
49,34,117,125,2
46,32,122,122,2
43,32,122,129,2
49,34,122,129,2
56,49,108,100,2
66,63,88,70,2
63,67,69,55,7
63,67,73,55,7
66,71,73,55,7
66,75,76,63,7
66,79,84,63,7
66,83,80,63,7
82,91,96,78,7
78,87,92,74,7
78,87,96,78,7
78,83,84,70,7
70,79,80,66,7
70,83,84,70,7
74,79,84,66,7
70,75,84,66,7
70,75,80,63,7
70,83,88,70,7
74,83,88,70,7
74,83,88,74,7
74,83,88,74,7
66,63,76,66,5
63,60,80,66,5
59,53,84,70,5
52,46,80,63,5
59,53,84,66,5
56,49,69,59,5
52,49,76,59,5
56,53,84,63,5
56,49,84,70,5
52,43,104,100,2
43,27,133,151,2
43,27,122,133,2
43,27,117,129,2
43,29,117,133,2
49,40,96,89,2
52,46,80,63,5
52,46,76,66,5
83,99,105,79,3
83,95,97,79,4
83,99,101,83,4
79,95,101,83,4
79,95,97,79,4
79,95,105,79,4
79,95,97,79,4
79,99,105,83,3
92,103,114,86,3
92,103,105,83,3
75,81,93,79,2
56,45,105,105,2
49,37,114,120,2
46,37,105,116,2
46,40,105,109,2
49,40,105,113,2
46,34,124,131,2
46,32,114,127,2
42,34,119,135,2
59,60,97,83,2
63,66,79,64,7
67,70,75,57,7
63,70,75,57,7
63,70,72,53,7
67,66,72,53,7
67,66,72,53,7
67,66,72,53,7
63,70,68,53,7
67,70,72,57,7
67,77,82,60,7
71,81,82,64,7
71,81,82,64,7
75,84,86,64,7
75,91,90,72,7
79,91,90,72,7
75,84,93,72,7
75,91,97,72,7
75,81,82,68,7
71,81,82,64,7
71,77,79,68,7
75,84,90,72,7
75,88,97,75,7
75,84,93,75,7
75,84,90,72,7
71,77,93,75,7
63,63,79,72,5
63,57,86,72,5
59,57,82,68,5
59,60,82,68,5
59,54,82,72,5
56,48,68,53,5
56,51,68,60,5
56,48,79,64,5
59,54,82,72,5
59,48,90,90,2
52,37,110,116,2
42,30,124,135,2
42,30,119,127,2
46,32,105,113,2
49,45,82,72,5
97,115,114,90,3
89,111,114,87,3
89,106,110,83,3
85,97,101,80,3
85,97,101,80,3
85,97,105,80,3
82,92,101,76,4
78,92,97,76,4
82,92,97,80,4
82,92,101,83,4
85,97,101,80,3
82,102,110,83,3
89,106,110,90,3
93,111,114,90,3
89,102,105,80,3
67,71,89,80,2
50,43,97,108,2
44,40,105,111,2
50,53,101,101,2
44,37,124,136,2
53,43,114,119,2
60,67,70,55,7
63,67,74,55,7
67,67,70,55,7
63,67,70,55,7
63,67,74,55,7
67,75,78,62,7
74,79,82,65,7
67,75,82,62,7
70,79,85,65,7
74,79,89,69,7
82,92,93,76,7
78,88,85,73,7
74,84,85,69,7
74,84,85,69,7
67,75,82,69,7
70,75,85,69,7
70,75,82,69,7
67,79,82,69,7
70,79,85,73,7
74,84,85,73,7
57,53,85,76,5
57,56,82,65,5
60,60,82,65,5
60,60,82,69,5
57,60,82,73,5
53,53,78,73,5
50,46,74,62,5
